PIDM,Cohort,SEX,Degree,Major 1,1st Year GPA,Dorm,1st Year Retention,College,Total Earned Hours,SAT,Major 2,Advisor
161,202109F,M,BS,Marketing,3.05,Loyola Hall,1,DSB,42,,,4.0
162,202109F,F,BS,Nursing,3.16,Jogues Hall,1,EGAN,49,,,17.0
163,202109F,F,BA,Undeclared,3.98,Jogues Hall,1,CAS,52,,,10.0
164,202109F,M,BS,Accounting,3.89,Gonzaga Hall,1,DSB,45,1340.0,,82.0
165,202109F,F,BS,Finance,3.79,Jogues Hall,1,DSB,48,,,89.0
166,202109F,F,BS,DSB Undeclared,3.96,Campion Hall,1,DSB,45,,,36.0
167,202109F,F,BS,DSB Undeclared,3.92,Gonzaga Hall,1,DSB,56,,,72.0
168,202109F,F,BS,Nursing,3.1,Gonzaga Hall,1,EGAN,48,,,35.0
169,202109F,M,BS,SOE Undeclared,2.76,Loyola Hall,1,SEC,46,,,90.0
170,202109F,F,BA,Communication,3.09,Jogues Hall,1,CAS,48,,,56.0
171,202109F,F,BS,Marketing,3.38,Campion Hall,1,DSB,45,,,6.0
172,202109F,F,BS,Finance,3.71,Loyola Hall,1,DSB,45,,,48.0
173,202109F,M,BS,DSB Undeclared,3.83,Gonzaga Hall,1,DSB,43,,,91.0
174,202109F,M,BS,DSB Undeclared,2.95,Regis Hall,1,DSB,42,,,9.0
175,202109F,F,BS,Nursing,2.9,Regis Hall,0,EGAN,34,,,92.0
176,202109F,F,BS,Nursing,3.05,Regis Hall,1,EGAN,54,,,93.0
177,202109F,M,BS,DSB Undeclared,3.48,Regis Hall,1,DSB,45,,,94.0
178,202109F,F,BS,Nursing,3.52,Gonzaga Hall,1,EGAN,49,,,30.0
179,202109F,M,BS,Accounting,3.05,Loyola Hall,1,DSB,43,,,73.0
180,202109F,M,BS,Finance,3.43,Loyola Hall,0,DSB,30,1340.0,,69.0
181,202109F,F,BA,Visual & Performing Arts,3.7,Jogues Hall,0,CAS,27,,,37.0
182,202109F,M,BS,Finance,3.78,Regis Hall,1,DSB,45,1200.0,,48.0
183,202109F,M,BS,DSB Undeclared,2.35,Loyola Hall,1,DSB,45,,,3.0
184,202109F,F,BA,Undeclared,3.16,Jogues Hall,1,CAS,45,1280.0,,95.0
185,202109F,M,BS,Biology,3.62,Campion Hall,1,CAS,58,1310.0,,96.0
186,202109F,F,BS,Nursing,3.84,Campion Hall,1,EGAN,49,,,97.0
187,202109F,F,BA,Undeclared,3.33,Loyola Hall,1,CAS,45,,,98.0
188,202109F,F,BS,Psychology,3.46,Jogues Hall,1,CAS,46,,,65.0
189,202109F,M,BS,DSB Undeclared,3.87,Regis Hall,1,DSB,45,,,85.0
190,202109F,F,BS,Biology,3.29,Campion Hall,1,CAS,43,,,18.0
191,202109F,F,BS,DSB Undeclared,3.79,Regis Hall,1,DSB,48,,,99.0
192,202109F,F,BS,Marketing,3.6,Jogues Hall,1,DSB,42,,,6.0
193,202109F,M,BA,Undeclared,3.49,Jogues Hall,1,CAS,45,,,61.0
194,202109F,F,BS,Finance,3.71,Campion Hall,1,DSB,48,,,13.0
195,202109F,F,BA,Undeclared,3.56,Loyola Hall,1,CAS,60,,,15.0
196,202109F,F,BA,Undeclared,3.98,Jogues Hall,1,CAS,49,,,59.0
197,202109F,M,BA,English,4.0,Campion Hall,1,CAS,48,,,42.0
198,202109F,F,BS,DSB Undeclared,3.44,Gonzaga Hall,1,DSB,48,1230.0,,100.0
199,202109F,M,BS,Finance,3.46,Gonzaga Hall,1,DSB,46,,,69.0
200,202109F,F,BS,Psychology,3.44,Regis Hall,1,CAS,48,1240.0,,87.0
201,202109F,M,BS,Marketing,3.2,Regis Hall,1,DSB,45,,,58.0
202,202109F,F,BS,SOE Undeclared,3.73,Campion Hall,1,SEC,45,,,38.0
203,202109F,M,BS,Biology,3.97,Campion Hall,1,CAS,54,1220.0,,31.0
204,202109F,F,BS,Nursing,3.15,Campion Hall,1,EGAN,54,,,30.0
205,202109F,F,BS,Marketing,3.6,Campion Hall,1,DSB,45,,,36.0
206,202109F,M,BS,DSB Undeclared,3.6,Regis Hall,1,DSB,45,,,36.0
207,202109F,M,BS,DSB Undeclared,2.69,Jogues Hall,1,DSB,39,,,101.0
208,202109F,F,BS,DSB Undeclared,2.67,Gonzaga Hall,1,DSB,45,,,76.0
209,202109F,F,BS,Nursing,3.49,Regis Hall,1,EGAN,51,,,30.0
210,202109F,M,BS,Business Analytics,3.88,Loyola Hall,1,DSB,51,,,102.0
211,202109F,F,BS,DSB Undeclared,3.32,Regis Hall,0,DSB,31,,,40.0
212,202109F,F,BS,Nursing,3.34,Loyola Hall,1,EGAN,49,1300.0,,55.0
213,202109F,M,BS,Biology,3.63,Campion Hall,0,CAS,34,,,103.0
214,202109F,M,BS,DSB Undeclared,3.27,Gonzaga Hall,1,DSB,48,1210.0,,104.0
215,202109F,M,BS,Marketing,3.8,Jogues Hall,1,DSB,45,1270.0,,4.0
216,202109F,M,BS,DSB Undeclared,3.49,Regis Hall,1,DSB,45,,,53.0
217,202109F,M,BA,Undeclared,2.49,Jogues Hall,1,CAS,39,,,18.0
218,202109F,F,BA,Communication,3.12,Regis Hall,1,CAS,42,,,49.0
219,202109F,F,BS,Nursing,3.57,Regis Hall,1,EGAN,70,,,75.0
220,202109F,F,BS,Psychology,3.88,Campion Hall,1,CAS,48,,,100.0
221,202109F,M,BS,Marketing,2.98,Regis Hall,1,DSB,45,,,105.0
222,202109F,M,BS,DSB Undeclared,3.63,Regis Hall,1,DSB,48,,,48.0
223,202109F,F,BS,Marketing,3.62,Gonzaga Hall,1,DSB,45,,,106.0
224,202109F,M,BS,Mechanical Engineering,2.49,Campion Hall,1,SEC,52,1160.0,,14.0
225,202109F,M,BS,Chemistry,3.18,Campion Hall,1,CAS,49,,,107.0
226,202109F,F,BA,Politics,3.83,Regis Hall,1,CAS,49,,,39.0
227,202109F,F,BA,Program on the Environment,3.11,Jogues Hall,1,CAS,53,,,108.0
228,202109F,M,BS,DSB Undeclared,4.0,Jogues Hall,1,DSB,65,1430.0,,104.0
229,202109F,M,BS,DSB Undeclared,3.78,Regis Hall,1,DSB,45,,,109.0
230,202109F,F,BA,History,3.65,Campion Hall,1,CAS,48,,,95.0
231,202109F,F,BS,Psychology,3.75,Jogues Hall,1,CAS,53,1380.0,,65.0
232,202109F,M,BA,Politics,3.63,Gonzaga Hall,1,CAS,46,,,110.0
233,202109F,F,BS,Nursing,2.88,Jogues Hall,1,EGAN,46,,,17.0
234,202109F,F,BS,Nursing,3.91,Gonzaga Hall,1,EGAN,60,1320.0,,55.0
235,202109F,F,BS,Nursing,3.82,Gonzaga Hall,1,EGAN,54,,,35.0
236,202109F,F,BS,Marketing,3.13,Gonzaga Hall,1,DSB,45,,,4.0
237,202109F,M,BS,Economics,3.63,Regis Hall,0,DSB,30,,,111.0
238,202109F,M,BS,Biology,3.51,Campion Hall,1,CAS,51,1220.0,,112.0
239,202109F,F,BA,Communication,3.91,Gonzaga Hall,1,CAS,42,,,10.0
240,202109F,F,BS,Nursing,3.52,Campion Hall,1,EGAN,39,,,30.0
241,202109F,F,BS,DSB Undeclared,3.92,Jogues Hall,1,DSB,55,,,113.0
242,202109F,M,BS,Finance,3.4,Jogues Hall,1,DSB,45,,,54.0
243,202109F,F,BS,Marketing,3.5,Campion Hall,0,DSB,33,,,12.0
244,202109F,F,BS,DSB Undeclared,4.0,Regis Hall,1,DSB,51,1370.0,,82.0
245,202109F,M,BS,DSB Undeclared,4.0,Jogues Hall,1,DSB,55,,,114.0
246,202109F,F,BS,Marketing,3.63,Campion Hall,1,DSB,51,,,36.0
247,202109F,F,BA,Undeclared,3.69,Gonzaga Hall,1,CAS,54,1350.0,,12.0
248,202109F,M,BA,Undeclared,3.67,Jogues Hall,1,CAS,48,1440.0,,115.0
249,202109F,M,BS,Finance,2.98,Regis Hall,1,DSB,48,,,48.0
250,202109F,F,BS,Psychology,3.72,Jogues Hall,1,CAS,42,,,46.0
251,202109F,F,BS,Nursing,3.87,Regis Hall,1,EGAN,49,1280.0,,51.0
252,202109F,F,BS,Biology,4.0,Jogues Hall,1,CAS,52,1340.0,,81.0
253,202109F,M,BS,DSB Undeclared,2.93,Gonzaga Hall,1,DSB,48,,,61.0
254,202109F,F,BS,Nursing,3.75,Regis Hall,1,EGAN,52,,,17.0
255,202109F,F,BS,Nursing,3.69,Campion Hall,1,EGAN,56,1350.0,,55.0
256,202109F,F,BS,Information Systems & Ops Mgmt,3.24,Gonzaga Hall,1,DSB,45,,,59.0
257,202109F,M,BS,Finance,3.84,Jogues Hall,1,DSB,63,1480.0,,116.0
258,202109F,M,BS,Chemistry,1.0,Campion Hall,0,CAS,12,1240.0,,117.0
259,202109F,F,BS,Marketing,3.16,Gonzaga Hall,1,DSB,54,,,6.0
260,202109F,F,BA,Undeclared,3.73,Gonzaga Hall,1,CAS,45,,,118.0
261,202109F,F,BS,Psychology,2.91,Jogues Hall,1,CAS,45,,,65.0
262,202109F,M,BS,Nursing,3.36,Campion Hall,1,EGAN,48,,,97.0
263,202109F,F,BS,Nursing,3.76,Campion Hall,0,EGAN,33,,,119.0
264,202109F,M,BS,Business Analytics,3.51,Gonzaga Hall,1,DSB,45,,,70.0
265,202109F,F,BS,Nursing,3.71,Jogues Hall,1,EGAN,62,1470.0,,55.0
266,202109F,F,BA,Undeclared,3.79,Gonzaga Hall,1,CAS,47,,,109.0
267,202109F,M,BS,SOE Undeclared,3.65,Regis Hall,1,SEC,55,1270.0,,120.0
268,202109F,M,BS,DSB Undeclared,2.85,Loyola Hall,1,DSB,39,,,121.0
269,202109F,F,BS,Nursing,3.9,Campion Hall,1,EGAN,43,,,35.0
270,202109F,F,BS,Nursing,2.98,Campion Hall,1,EGAN,49,,,17.0
271,202109F,M,BS,Finance,3.24,Regis Hall,1,DSB,48,,,63.0
272,202109F,F,BS,Nursing,3.89,Jogues Hall,1,EGAN,50,,,17.0
273,202109F,M,BS,Psychology,3.36,Jogues Hall,1,CAS,42,,,86.0
274,202109F,M,BS,DSB Undeclared,3.4,Jogues Hall,1,DSB,48,,,113.0
275,202109F,F,BS,Marketing,3.4,Loyola Hall,1,DSB,51,,,6.0
276,202109F,M,BS,Finance,2.86,Regis Hall,1,DSB,42,,,122.0
277,202109F,M,BS,DSB Undeclared,3.3,Regis Hall,1,DSB,46,,,123.0
278,202109F,M,BS,DSB Undeclared,2.62,Commuter,1,DSB,45,,,21.0
279,202109F,F,BS,Nursing,3.52,Campion Hall,1,EGAN,55,,,124.0
280,202109F,F,BS,Nursing,3.4,Campion Hall,1,EGAN,54,,,35.0
281,202109F,M,BS,DSB Undeclared,2.33,Jogues Hall,1,DSB,39,,,109.0
282,202109F,F,BS,Marketing,4.0,Loyola Hall,1,DSB,49,,,41.0
283,202109F,F,BA,Undeclared,3.93,Loyola Hall,1,CAS,51,,,56.0
284,202109F,F,BS,Nursing,3.32,Regis Hall,1,EGAN,49,,,93.0
285,202109F,F,BS,Nursing,3.48,Campion Hall,1,EGAN,55,,,84.0
286,202109F,M,BS,DSB Undeclared,3.13,Gonzaga Hall,1,DSB,45,,,125.0
287,202109F,F,BS,Nursing,3.82,Campion Hall,1,EGAN,57,,,55.0
288,202109F,F,BS,Nursing,3.33,Loyola Hall,1,EGAN,52,,,55.0
289,202109F,F,BS,Biology,3.57,Campion Hall,1,CAS,50,,,71.0
290,202109F,F,BA,Undeclared,3.07,Regis Hall,1,CAS,45,,,33.0
291,202109F,M,BA,Undeclared,3.74,Jogues Hall,1,CAS,49,,,56.0
292,202109F,F,BS,Management,3.27,Jogues Hall,1,DSB,45,,,53.0
293,202109F,F,BA,Undeclared,3.69,Regis Hall,1,CAS,45,,,56.0
294,202109F,F,BS,Marketing,3.67,Regis Hall,1,DSB,48,,,6.0
295,202109F,F,BA,Undeclared,3.91,Jogues Hall,1,CAS,45,,,21.0
296,202109F,M,BS,DSB Undeclared,3.0,Regis Hall,1,DSB,45,,,40.0
297,202109F,F,BA,Undeclared,3.73,Regis Hall,1,CAS,45,,,126.0
298,202109F,M,BS,DSB Undeclared,3.36,Regis Hall,1,DSB,46,1290.0,,109.0
299,202109F,M,BS,Finance,3.62,Jogues Hall,1,DSB,52,,,48.0
300,202109F,F,BA,Undeclared,3.29,Gonzaga Hall,1,CAS,45,,,10.0
301,202109F,F,BS,Finance,3.98,Jogues Hall,1,DSB,60,,,91.0
302,202109F,M,BS,DSB Undeclared,3.92,Jogues Hall,1,DSB,48,1280.0,,101.0
303,202109F,M,BS,Biology,3.63,Campion Hall,1,CAS,50,1300.0,,61.0
304,202109F,M,BA,History,3.57,Loyola Hall,1,CAS,42,,,127.0
305,202109F,F,BS,Mathematics,3.88,Jogues Hall,1,CAS,81,1380.0,,63.0
306,202109F,F,BS,Nursing,3.59,Gonzaga Hall,1,EGAN,49,,,30.0
307,202109F,F,BA,Visual & Performing Arts,3.42,Jogues Hall,1,CAS,43,1080.0,,128.0
308,202109F,M,BA,History,2.64,Gonzaga Hall,1,CAS,42,,,39.0
309,202109F,F,BS,Accounting,3.51,Jogues Hall,1,DSB,48,,,6.0
310,202109F,F,BS,DSB Undeclared,3.74,Jogues Hall,1,DSB,57,,,129.0
311,202109F,F,BS,Management,3.96,Jogues Hall,1,DSB,52,,,104.0
312,202109F,F,BA,Undeclared,3.29,Jogues Hall,1,CAS,45,,,106.0
313,202109F,M,BS,Marketing,3.53,Regis Hall,1,DSB,45,,,130.0
314,202109F,F,BS,Biology,3.11,Campion Hall,1,CAS,42,,,131.0
